,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
223,555,Faster R-CNN,20,0.619,9,2.1986,0.45
224,560,YOLOv8n,5,0.561,2,0.0569,17.58
225,560,Faster R-CNN,19,0.644,9,2.1743,0.46
226,565,YOLOv8n,5,0.57,2,0.0588,17.02
227,565,Faster R-CNN,18,0.627,8,2.2595,0.44
228,570,YOLOv8n,6,0.545,3,0.0554,18.05
229,570,Faster R-CNN,16,0.675,9,2.1782,0.46
230,575,YOLOv8n,7,0.464,4,0.0573,17.44
231,575,Faster R-CNN,15,0.657,7,2.162,0.46
232,580,YOLOv8n,6,0.526,3,0.0551,18.16
233,580,Faster R-CNN,17,0.636,9,2.1811,0.46
234,585,YOLOv8n,7,0.472,3,0.0559,17.88
235,585,Faster R-CNN,18,0.61,7,2.2475,0.44
